timestamp,robot1_x,robot1_y,robot1_z,robot2_x,robot2_y,robot2_z
1777741010.499919,8.715355253074149,1.78246537028485e-09,4.205391941272584,3.0,0.0,5.2
1777741010.9999783,9.215355253074156,1.78246537028485e-09,4.205391941272584,3.0,0.0,5.2
1777741011.4999626,9.715355253074163,1.78246537028485e-09,4.205391941272584,3.0,0.0,5.2
1777741012.000522,10.21535525307417,1.78246537028485e-09,4.205391941272584,3.0,0.0,5.2
1777741012.5001326,10.414368289404273,-0.0755349177587689,4.290549244643687,3.0,0.0,5.2
1777741012.999982,10.389368289404272,-0.05053491775876894,4.4655492446436895,3.0,0.0,5.2
1777741013.4999092,10.364368289404272,-0.02553491775876896,4.640549244643692,3.0,0.0,5.2
1777741014.0011463,10.543964928125744,-0.1008611982857042,4.722369095218646,3.0,0.0,5.2
1777741014.4999409,10.368964928125742,0.024138801714295846,4.947369095218649,3.0,0.0,5.2
1777741015.0000136,10.518964928125744,-0.025861198285704178,5.0473690952186505,3.0,0.0,5.2
1777741015.49998,10.343964928125741,-0.10086119828570422,5.272369095218654,3.0,0.0,5.2
1777741016.0027187,10.468964928125743,0.02413880171429582,5.147369095218652,3.0,0.0,5.2
1777741016.5000448,10.443964928125743,-0.05086119828570421,5.172369095218652,3.0,0.0,5.2
1777741016.999978,10.468964928125743,0.0741388017142958,5.0473690952186505,3.0,0.0,5.2
1777741017.5001335,10.468964928125743,0.0741388017142958,5.0473690952186505,3.0,0.0,5.2
1777741017.9998832,10.468964928125743,0.0741388017142958,5.0473690952186505,3.0,0.0,5.2
1777741018.4999332,10.468964928125743,0.0741388017142958,5.0473690952186505,3.0,0.0,5.2
1777741019.0001194,10.468964928125743,0.0741388017142958,5.0473690952186505,3.0,0.0,5.2
1777741019.500089,10.468964928125743,0.0741388017142958,5.0473690952186505,3.0,0.0,5.2
1777741020.0003102,10.468964928125743,0.0741388017142958,5.0473690952186505,3.0,0.0,5.2
1777741020.4999926,10.468964928125743,0.0741388017142958,5.0473690952186505,3.0,0.0,5.2
1777741021.000541,10.468964928125743,0.0741388017142958,5.0473690952186505,3.0,0.0,5.2
1777741021.5004444,10.468964928125743,0.0741388017142958,5.0473690952186505,3.0,0.0,5.2
1777741022.0004165,10.468964928125743,0.0741388017142958,5.0473690952186505,3.0,0.0,5.2
1777741022.5005658,10.468964928125743,0.0741388017142958,5.0473690952186505,3.0,0.0,5.2
1777741023.000777,10.468964928125743,0.0741388017142958,5.0473690952186505,3.0,0.0,5.2
