timestamp,robot1_x,robot1_y,robot1_z,robot2_x,robot2_y,robot2_z,robot3_x,robot3_y,robot3_z
1777154605.2661657,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777154605.766001,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777154606.2660022,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777154606.7660532,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777154607.2659874,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777154607.766041,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777154608.266094,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777154608.766044,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777154609.2664983,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777154609.768049,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777154610.2659893,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777154610.7660573,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777154611.2669184,3.0,-2.0,2.299999999999999,3.0,0.0,2.0,3.0,2.0,2.0
1777154611.766013,3.0,-2.0,2.799999999999997,3.0,0.0,2.0,3.0,2.0,2.0
1777154612.2661538,3.0,-2.0,3.2999999999999954,3.0,0.0,2.0,3.0,2.0,2.0
1777154612.7662265,3.0,-2.0,3.7999999999999936,3.0,0.0,2.0,3.0,2.0,2.0
1777154613.2660365,3.0,-2.0,4.299999999999992,3.0,0.0,2.0,3.0,2.0,2.0
1777154613.766025,3.0,-2.0,4.79999999999999,3.0,0.0,2.0,3.0,2.0,2.0
1777154614.2660904,3.0,-2.0,5.299999999999988,3.0,0.0,2.0,3.0,2.0,2.0
1777154614.766432,3.0,-2.0,5.7999999999999865,3.0,0.0,2.0,3.0,2.0,2.0
1777154615.2669225,3.0,-2.0,6.299999999999985,3.0,0.0,2.0,3.0,2.0,2.0
1777154615.7660296,3.0,-2.0,6.799999999999983,3.0,0.0,2.0,3.0,2.0,2.0
1777154616.2670572,3.0,-2.0,6.899999999999983,3.0,0.0,2.0,3.0,2.0,2.0
1777154616.7661128,3.0,-2.0,6.899999999999983,3.0,0.0,2.0,3.0,2.0,2.0
1777154617.2664187,3.0,-2.0,6.899999999999983,3.0,0.0,2.0,3.0,2.0,2.0
1777154617.7660503,3.0,-2.0,6.899999999999983,3.0,0.0,2.0,3.0,2.0,2.0
1777154618.2660756,2.700000000000001,-2.0,6.899999999999983,3.0,0.0,2.0,3.0,2.0,2.0
1777154618.7670603,2.200000000000003,-2.0,6.899999999999983,3.0,0.0,2.0,3.0,2.0,2.0
